Tipo|Medio General|Medio Específico|Título|Resumen|Fecha Emisión|Valorización|Cm2|Duración|Página|Personajes|Candidatos 2016|Tono|Mes Emisión
Web|Correo|diariocorreo.pe|APRA negocia alianzas con partidos de Renzo Reggiardo y Flores-Aráoz|Según adelantó la vocera de bancada, Esther Capuñay, hay tres precandidatos: el constitucionalista Alberto Borea, el congresista José Luna y el expremier César Villanueva...Sin embargo, Luna informó que su partido “está evaluando la posibilidad de una alianza”...“Yo soy una alternativa (de candidato) pero preferimos nosotros, por la premura del tiempo, ir en alianza. Nosotros tenemos propuestas del APRA, PPK y Acuña. Todos quieren a Solidaridad por lo que representa en Lima, pero este lunes tendremos la decisión”, afirmó a Correo.|04/12/2015|702.1||0||Claude Maurice Mulder Bedoya|Ántero Flores-Aráoz Esparza|Neutro|2015-12
Medio Impreso|Perú 21|Perú 21|""Tenemos un gobierno inepto y corrupto""|Entrevista a Fernando Rospigliosi. Ex ministro del Interior y analista político. ¿De eso se trata la política, de ser profesional independiente y exitoso? Es una característica que tiene la plancha de Pedro Pablo Además, es gente que ha trabajado en la administración pública y lo ha hecho bien. (...) Usted conversó con Keiko, ¿lo ’choteó’? Para nada. He conversado también con Alan García, con Ántero Flores-Aráoz, con mucha gente. (...) Claro, pero ¿no están repitiendo lo de Toledo: Un gobierno de todas las sangres? Eso fue lo que dijo Pedro Pablo en la CADE. No es copiar a Toledo trabajar con gente honrada y honesta para un eventual gobierno (...) ¿Acuña gasta en exceso? De eso no hay duda, se ha gastado millones en una campaña publicitaria a nombre de la universidad cuando es obvio que está haciendo propaganda política. Tiene muchísima plata. Pero ese es un problema del JNE.|20/12/2015|16654.96|1617.89|0|2|Fernando Miguel Rospigliosi Capurro|Ántero Flores-Aráoz Esparza|Neutro|2015-12
Web|Perú 21|peru21.pe|Luis Iberico: “Universidades pueden aportar a la campaña”|Entrevista. Luis Iberico, secretario ejecutivo nacional de Alianza para el Progreso (APP). (...) ¿Qué responde ante las denuncias contra César Acuña por los aportes fantasmas a su campaña?.Todo tiene que esclarecerse en aras de la transparencia. No tenemos ánimo de ocultar nada, somos los primeros interesados en hacer una investigación interna y nos allanamos también a las investigaciones que se hacen desde afuera.|18/12/2015|1874.83||0||Luis Carlos Antonio Iberico Nuñez|Ántero Flores-Aráoz Esparza|Neutro|2015-12
Web|La República|larepublica.pe|El beso de drácula - Augusto Álvarez Rodrich|¿Qué culpa tengo de que no tenga universidades? César Acuña.|14/12/2015|1014.43||0||Augusto Álvarez Rodrich|Ántero Flores-Aráoz Esparza|Neutro|2015-12
Web|Andina|andina.com.pe|Susana Villarán anuncia que participará en las elecciones 2016|La exalcaldesa de Lima Susana Villarán anunció hoy que participará en las elecciones generales del 2016, luego de haber presentado esta semana su renuncia a las filas de Fuerza Social, partido con el que llegó a la alcaldía capitalina. (...) ""Lo he hecho hasta hoy con César Acuña, con PPK, con Alfredo Barnechea, con Ántero Flores-Aráoz, con Yehude Simon, con muchos líderes y lideresas de base de las izquierdas. Hoy lo haré con Julio Guzmán. Persistiré en ello"", agregó.|12/12/2015|98.6||0||Susana María del Carmen Villarán de la Puente|Ántero Flores-Aráoz Esparza|Neutro|2015-12
Medio Impreso|Perú 21|Perú 21|""La actual Constitución ha funcionado bien""|Entrevista Rómulo Mucho, candidato a primer vicepresidente de Orden. Rómulo Mucho no pudo lograr la inscripción de su partido, Perú en Acción, en el Jurado Nacional de Elecciones (JNE) y, cuando pretendió postular a la presidencia con otra agrupación, lo desembarcaron de ella. A pesar de esto, participará en la campaña política del 2016 candidateando en la primera vicepresidencia de Orden. También postulará al Congreso por Lima. (…) Como todos saben, yo empecé con un nuevo movimiento, pero no alcanzamos las firmas. ¿Por qué con Orden? Porque conozco a Ántero Flores-Aráoz de hace muchos años, cuando fui congresista en el año 2000. Sé que es una persona seria, centrada en combatir la inseguridad ciudadana y la corrupción.|28/12/2015|10548.67|1135.98|0|14|Rómulo Mucho Mamani|Ántero Flores-Aráoz Esparza|Positivo|2015-12
Web|Perú 21|peru21.pe|César Acuña descartó incorporación de Susana Villarán a su agrupación política|El candidato presidencial de Alianza para el Progreso, César Acuña, descartó hoy una eventual incorporación de la exalcaldesa de Lima, Susana Villarán a su agrupación política las elecciones generales de 2016...(...) El candidato presidencial de Alianza para el Progreso, César Acuña, descartó hoy una eventual incorporación de la exalcaldesa de Lima, Susana Villarán a su agrupación política las elecciones generales de 2016.|13/12/2015|1874.83||0||Susana María del Carmen Villarán de la Puente|Ántero Flores-Aráoz Esparza|Neutro|2015-12
Web|La República|larepublica.pe|Fujimorismo vs. fujimorismo|Hace unos días tuve el gusto de conversar con Alberto Vergara, reconocido politólogo peruano. Algo que me dijo me llamó la atención: “Los peruanos no necesitamos de un Fujimori para ser gobernados de un modo fujimorista”. El clientelismo que compra votos, la facilidad de privatizar antes que planificar, todo eso lo vemos en muchos candidatos ahora. ¿Qué representa César Acuña, si no todo lo descrito? .Con esto en mente es que quiero expresar mi opinión a raíz de las declaraciones de Susana Villarán. . .Creo que toda conversación es válida y enriquece. Escuchar a otros y enfrentar ideas es siempre saludable. Que Susana Villarán haya conversado con otras fuerzas (ella misma menciona: Acuña, PPK, Ántero) no es el problema.|15/12/2015|1014.43||0||Sigrid Bazán Narro|Ántero Flores-Aráoz Esparza|Neutro|2015-12
Medio Impreso|Diario Uno|Diario Uno|Indecisos; la mayoría - César Lévano|La encuesta de GfK publicada ayer en La República muestra que Keiko Fujimori sigue en la punta de la intención de voto, pero ha bajado dos puntos: de 32 a 30 por ciento. Hay, en cambio, un 36 por ciento que aún no decide su voto o indica que votaría en blanco o viciado. Alan García, después de su publicitada alianza con el PPC, sigue hundiéndose. Ahora está en cinco por ciento, frente al 11 de PPK, el 8 de César Acuña y el 3 de Alejandro Toledo. Bajo el rubro de Otros, con dos por ciento cada uno, aparecen Verónika Mendoza, Julio Guzmán y Daniel Urresti. Más abajo, con 0.2 por ciento, queda Ántero Flores-Aráoz.|21/12/2015|2292|240.65|0|2|César Lévano|Ántero Flores-Aráoz Esparza|Neutro|2015-12
Web|Correo|diariocorreo.pe|2016: Un año de definiciones - Juan Carlos Valdivia|(...) Hay una vasta oferta electoral, dispersa, que debió consolidarse en una o dos propuestas. Pero cuando tenga que elegir su candidato, escoja entre aquellos que nos garanticen que no se desandará lo andado, que nos afirmen que los cambios que proponen son para consolidar el modelo económico y no para implantar uno diferente. Hay de donde escoger, desde PPK o Alan García, pasando por Keiko Fujimori, Julio Guzmán, Ántero Flórez, Alfredo Barnechea y quizá César Acuña.|30/12/2015|702.1||0||Juan Carlos Valdivia|Ántero Flores-Aráoz Esparza|Neutro|2015-12
Radio|Radio San Borja|No hay Derecho|Periodista Glatzer Tuesta y Ernesto De La Jara comentan últimos hechos de la coyuntura política (San Borja)|El periodista Glatzer Tuesta y Ernesto De La Jara, comentaron también el pacto ético para las elecciones generales del 2016, donde acudieron los candidatos César Acuña, Pedro Pablo Kuczynski y Ántero Flóres Araoz. Ambos recalcaron el rumor de un presunto vínculo entre el presidente del JNE, Francisco Távara y Acuña. De La Jara, expresó su preocupación por la integración de Mercedes Aráoz a Peruanos por el Kambio, por su cercanía al partido aprista y su responsabilidad política de lo ocurrido en Bagua. Criticaron y cuestionaron a la lideresa Lourdes Flores Nano por la alianza del PPC y el APRA, la cual ha traído consecuencias negativas, sobretodo en el primer grupo parlamentario señalado.|17/12/2015|658.05||615||Glatzer Tuesta|Ántero Flores-Aráoz Esparza|Positivo|2015-12
Radio|Exitosa|Milagros Leiva en Exitosa |Entrevista al analista político, Carlos Adrianzén (Exitosa)|Entrevista. El analista político Carlos Adrianzén brindó un análisis de la coyuntura económica a nivel nacional en el marco de la campaña electoral. Al inicio de la intervención opinó sobre las propuestas de campaña de César Acuña, entre ellas, el 'tren bala' el cual podría generar 'despidos como cancha', además, sobre un incremento del salario mínimo vital se debería reinventar al país. Expresó su preocupación por la falta de credibilidad en las propuestas, tanto de Acuña como de Keiko Fujimori. Asimismo, enfatizó que PPK y Antero Flores Aráoz pueden ser calificados como candidatos serios y sostuvo que Alejandro Toledo tuvo razón al afirmar que las elecciones en el Perú se compran. Más adelante, Milagros Leiva recordó que Alan García tendría vinculación alguna con la USMP y Keiko con Alas Peruanas.|16/12/2015|4320.54||2286||Carlos Adrianzén Cabrera|Ántero Flores-Aráoz Esparza|Positivo|2015-12
Medio Impreso|Correo|Correo|2016: Un año de definiciones - Juan Carlos Valdivia|E l siglo XXI ha sido generoso con el Perú. A pesar de la crisis institucional que vivimos y de una sociedad en permanente cambio, la economía ha crecido, los negocios se han desarrollado y hemos retirado a más del 30% de la población de la pobreza. (...) Hay una vasta oferta electoral, dispersa, que debió consolidarse en una o dos propuestas. Pero cuando tenga que elegir su candidato, escoja entre aquellos que nos garanticen que no se desandará lo andado, que nos afirmen que los cambios que proponen son para consolidar el modelo económico y no para implantar uno diferente. Hay de donde escoger, desde PPK o Alan García, pasando por Keiko Fujimori, Julio Guzmán, Ántero Flórez, Alfredo Barnechea y quizá César Acuña.|30/12/2015|1233.75|129.24|0|11|Juan Carlos Valdivia|Ántero Flores-Aráoz Esparza|Neutro|2015-12
Radio|Exitosa|Rosana Cueva en Exitosa|Entrevista a Rómulo Mucho sobre inclusión a plancha de Únete (Exitosa)|Entrevista. Rómulo Mucho, exprecandidato por Siempre Unidos, comentó sobre su reciente integración a la plancha presidencial de Únete de Ántero Flores-Aráoz. En primer lugar, se refirió a la situación del país y la necesidad de un gobernante con mayor gestión con conocimiento de las necesidades de los pobladores. Asimismo, recordó que hay una serie de proyectos mineros estancados, además comparó el planeamiento con el de César Acuña.|11/12/2015|1315.44||696||Rómulo Mucho Mamani|Ántero Flores-Aráoz Esparza|Positivo|2015-12
