Tipo|Medio General|Medio Específico|Título|Resumen|Fecha Emisión|Valorización|Cm2|Duración|Página|Personajes|Candidatos 2016|Tono|Mes Emisión
Web|La República|larepublica.pe|Fotocheck de apuestas riesgosas|Verónika Mendoza. La campaña la va a foguear. ¿Pero cómo es el futuro de los ex candidatos en la izquierda? Hagamos memoria. Va a tener que luchar mucho para conservar su peso político cinco años en el llano, aunque para lograr eso existen recursos. En el fondo a Marco Arana le fue mucho mejor perdiendo la elección interna. .|27/12/2015|1014.43||0||Mirko Lauer|Ricardo Belmont Cassinelli|Neutro|2015-12
Televisión|RBC Satelital|Habla el Pueblo|Entrevista a Ricardo Belmont en Capital TV (Canal 11)|Entrevista. El candidato a la presidencia Ricardo Belmont fue entrevistado por el periodista Guido Lombardi en Capital TV. Al respecto, Héctor Vargas Haya dijo que ese programa le permitió a Ricardo Belmont presentarse tal y como es. Mientras que el analista político Harold Alva dijo que Belmont tiene la receta para la inseguridad y la justicia en el país. A su vez, el periodista Julián Cortés dijo que Belmont habló de que se ocuparía de la inseguridad ciudadana al día siguiente de asumir la presidencia.|15/12/2015|4960.08||1494||Agustín Haya de la Torre|Ricardo Belmont Cassinelli|Positivo|2015-12
Televisión|RBC Satelital|Habla el Pueblo|Entrevista a Ricardo Belmont en Capital TV (Canal 11)|Entrevista. El candidato a la presidencia Ricardo Belmont fue entrevistado por el periodista Guido Lombardi en Capital TV. Al respecto, Héctor Vargas Haya dijo que ese programa le permitió a Ricardo Belmont presentarse tal y como es. Mientras que el analista político Harold Alva dijo que Belmont tiene la receta para la inseguridad y la justicia en el país. A su vez, el periodista Julián Cortés dijo que Belmont habló de que se ocuparía de la inseguridad ciudadana al día siguiente de asumir la presidencia.|15/12/2015|4960.08||1494||Harold Alva|Ricardo Belmont Cassinelli|Positivo|2015-12
Televisión|RBC Satelital|Habla el Pueblo|Entrevista a Ricardo Belmont en Capital TV (Canal 11)|Entrevista. El candidato a la presidencia Ricardo Belmont fue entrevistado por el periodista Guido Lombardi en Capital TV. Al respecto, Héctor Vargas Haya dijo que ese programa le permitió a Ricardo Belmont presentarse tal y como es. Mientras que el analista político Harold Alva dijo que Belmont tiene la receta para la inseguridad y la justicia en el país. A su vez, el periodista Julián Cortés dijo que Belmont habló de que se ocuparía de la inseguridad ciudadana al día siguiente de asumir la presidencia.|15/12/2015|4960.08||1494||Julián Cortez|Ricardo Belmont Cassinelli|Positivo|2015-12
Televisión|RBC Satelital|Boca a Boca|Entrevista al periodista Rolando Diaz sobre la coyuntura electoral (Canal 11)|Entrevista. El periodista Rolando Díaz comentó que el prime time de la televisión peruana no ha emitido el mitin de Ricardo Belmont porque temen el manejo comunicacional. Además, refirió que con el pésimo debate que dieron los candidatos en el CADE, el mitin de Belmont sería un gran “huracán” que no lo pararía nadie. Sin embargo, señaló que en los próximos meses el pueblo diseccionará su voto en una propuesta decente.|14/12/2015|2267.56||683||Rolando Diaz Cervantes|Ricardo Belmont Cassinelli|Positivo|2015-12
Web|Correo|diariocorreo.pe|Las planchas y el matón - Luis Alfonso Morey|Ver a Anel Townsend con César Acuña, a Susana Villarán con Daniel Urresti, a Lourdes Flores con Alan García, a Vladimiro Huaroc con Keiko Fujimori y a la excandidata aprista Mercedes Aráoz con Kuczynski demuestra que lo único que les interesa es llegar al poder, como sea y con quien sea. Los principios son dejados a un lado para juntarse con quien creen que más les conviene. Llama la atención también Nano Guerra (ex Yehude) de la manito con el cuestionado José Luna Gálvez. La mayor parte de planchas son un arroz con mango, una mezcla de oportunismo y falta de principios. En el caso de Ricardo Belmont, cuya candidatura presidencial es silenciada por la mayor parte de los medios, lo acompañan Iván Dibós y Marcos Ibazeta, personas intachables que demuestran coherencia, cosa rara en estos tiempos.|24/12/2015|702.1||0||Luis Alfonso Morey|Ricardo Belmont Cassinelli|Positivo|2015-12
Medio Impreso|Diario Uno|Diario Uno|Candidatos como cancha - César Lévano|Hasta ayer se sabía que existen 19 candidatos a la presidencia de la República, pero un amigo bien enterado me asegura que hoy aparecerá uno más. Estamos ante un boom de presidenciables. Jaime Antezana, especialista en temas de narcotrático, informa que en ese lote de aspirantes hay uno estrechamente vinculado a los narcos. Además, expresa, hay decenas de candidatos al Congreso que comparten tal origen. La amenaza de que el Perú se convierta en un narcoestado no solo proviene, entonces, de Alan García, protector calificado de esa malla. (...) En la fórmula presidencial de Keiko Fujimori hay un candidato a primer vicepresidente que encarna más bien la negación de Billinghurst. Es José Chlimper, empresario, quien en el 2007 frente a una huelga de estibadores del Callao, declaró que si las autoridades no desalojaban a los portuarios, él los sacaría a balazos.|23/12/2015|2263.35|237.04|0|2|César Lévano|Ricardo Belmont Cassinelli|Neutro|2015-12
Web|La República|larepublica.pe|Perú Wars: El Despertar a la Fuerza - Marco Sifuentes|–Alfredo Barnechea tiene suficientes contactos en los medios como para obtener valiosos minutos de exposición en televisión. Si hay un nicho de votantes que busca a alguien que “hable bonito” pero no quiere votar por el candidato de los narcoindultos, aquí tiene a su hombre. La verdad, si lo pusieran a debatir con gente como Acuña, Barnechea quedaría como Churchill. Con un equipo de campaña sólido, también podría pasar la valla.|23/12/2015|1014.43||0||Marcos Sifuentes|Ricardo Belmont Cassinelli|Neutro|2015-12
Medio Impreso|Correo|Correo|Las planchas y el matón - Luis Alfonso Morey|Ver Anel Townsend con César Acuña, a Susana Villarán con Daniel Urresti a Lourdes Flores con Alan García a Vladimiro Huaroc con Keiko Fujimori y a la excandidata aprista Mercedes Aráoz con Kuczynski demuestra que lo único que les interesa es llegar al poder, como sea y con quien sea. Los principios son dejados a un lado para juntarse con quien creen que más les conviene. Llama la atención también Nano Guerra (ex Yehude) de la manito con el cuestionado José Luna Gálvez. La mayor parte de planchas son un arroz con mango. una mezcla de oportunismo y falta de principios. En el caso de Ricardo Belmont, cuya candidatura presidencial es silenciada por la mayor parte de los medios, lo acompañan Iván Dibós y Marcos lbazeta. personas intachables que demuestran coherencia, cosa rara en estos tiempos.|24/12/2015|1185.93|124.49|0|11|Luis Alfonso Morey|Ricardo Belmont Cassinelli|Positivo|2015-12
Radio|Exitosa|Milagros Leiva en Exitosa |ntrevista al candidato Marco Ibazeta (Exitosa)|Entrevista. El candidato a la plancha presidencial de Ricardo Belmont, Marco Ibazeta, sostuvo que ingreso a la política puesto que no hay ideas positivas para el país. Durante su alocución, se refirió a la labor de la Policía respecto a la inseguridad ciudadana.|14/12/2015|1791.72||948||Marcos Ibazeta Marino|Ricardo Belmont Cassinelli|Positivo|2015-12
