Tipo|Medio General|Medio Específico|Título|Resumen|Fecha Emisión|Valorización|Cm2|Duración|Página|Personajes|Candidatos 2016|Tono|Mes Emisión
Web|Perú 21|peru21.pe|César Acuña: Video de ""plata como cancha"" podría hundir a candidato de Alianza Para el Progreso|El Poder Judicial de La Libertad programó para este 6 de enero la audiencia de apelación en la que se determinará si el candidato presidencial César Acuña va o no a juicio oral por el presunto delito de inducción al voto. Ello debido a que, en el video denominado ‘plata como cancha’, el exalcalde de Trujillo se habría referido a la presunta entrega de víveres a cambio de votos durante la campaña electoral para tentar la reelección al municipio...(...) Según la denuncia, varias de las compañías tenían como domicilio sedes de la Universidad César Vallejo, de propiedad del líder de APP, quien en su momento aseguró que acudirá a la diligencia.|28/12/2015|1874.83||0||Mario Deza Castañeda|César Acuña Peralta|Positivo|2015-12
Web|Correo|diariocorreo.pe|El amigo elegido en la política - Jaime Asián Domínguez|Sabido es que, en nuestro país, la política es un chiste (y en forma recurrente de mal gusto). En ese entendido, y ad portas de las fiestas navideñas, qué tal si distribuimos algunos regalos entre estos congéneres que gobiernan o pretenden tomar las riendas del país luego de las elecciones del próximo año. Eso sí, el que se pica, pierde...César Acuña: Va para él una enciclopedia y un libro Coquito, para que aprenda a leer y escribir; así deja de hacer tanto roche cuando escribe tuits y lee discursos...Keiko Fujimori: Se ha hecho acreedora a un juego de Monopolio, porque ahí tiene el poder para meter y sacar de la cárcel a la gente (aló, ¿don Alberto?)...PPK: Ya que lo fastidian tanto con el tema de la edad y sus achaques, se lleva un kit completo de cremas antiarrugas y rejuvenecedoras...Alan García: De cajón una suscripción urgente a Netflix para que pueda ver la serie Narcos. Ahí está el detalle...Daniel Urresti: Está cantado el libro El completo manual del suicidio (Wataru Tsurumi). Solo él puede creer que pasará la valla electoral con el Partido Nacionalista.|14/12/2015|702.1||0||Jaime Asián Domínguez|César Acuña Peralta|Neutro|2015-12
Medio Impreso|Diario Uno|Diario Uno|Impunidad|Ante un comentario de Carlos Bruce, quien dijo:""Espero que la SUNAT actúe en las universidad del Sr. Acuña"", el congresista Daniel Abugattás agregó: ""Eso esperamos todos, hace un buen rato, que usan nuestros impuestos impunemente"".|24/12/2015|305.6|32.95|0|2|Daniel Abugattás Majluf|César Acuña Peralta|Negativo|2015-12
Medio Impreso|Correo|Correo|Richard Acuña ""Mi padre, como cualquier persona, cometió un error""|El congresista Richard Acuña defendió a su padre, el candidato presidencial Ce´sar Acuña Peralta (Alianza para el progreso) , de las acusaciones en su contra.(...) ""Mi padre como cualquier persona, cometió un error y fue responsable del niño (que tuvo). nunca lo abandonó. Los medios de comunicación deben dedicarse a difundir las propuestas de los candidatos y no temas familiares"", sostuvo en RPP.|01/12/2015|1109.42|116.58|0|6|Richard Acuña Núñez|César Acuña Peralta|Positivo|2015-12
Medio Impreso|La Razón|La Razón|Vizcarra critica a Acuña por uso de universidades|Martín Vizcarra Cornejo, integrante de la plancha presidencial de Pedro Pablo Kuczynski, criticó a César Acuña por el presunto uso político de la Universidad César Vallejo.|25/12/2015|667.92|81.52|0|3|Martín Alberto Vizcarra Cornejo|César Acuña Peralta|Negativo|2015-12
Medio Impreso|Expreso|Expreso|""Sunedu está pintada frente a irregularidades de Acuña""|Entrevista a Luciana León. ¿La Sunedu le parece útil? En la práctica, la Sunedu no sirve para nada. Está pintada ante un candidato presidencial como Acuña que usa irregularmente fondos de su universidad para poner su cara en paneles gigantes. Algo parecido pasa con José Luna. En año y medio no han mejorado nada. Esa ley va a tener que mejorarse, porque hasta ahora lo único que ha creado es burocracia y desorden.|15/12/2015|4597.36|749.93|0|8|Luciana Milagros León Romero|César Acuña Peralta|Negativo|2015-12
Medio Impreso|Exitosa|Exitosa Diario|""No somos un sancochado como dice Nadine, sino una buena receta""|Entrevista a Davidad Salazar Morote. Usted es un hombre que proviene de las regiones de Alan García se le acusó de tener un gobierno centralista. ¿Porque decidió acompañarlo?. Creo que habría que revisar las cifras, porque cuando asumí la región Apurímac prácticamente duplicamos la inversión respecto a la gestión pasada. No teníamos el problema de estar pidiendo la anuencia del Gobierno Central o del Ministerio de Economía para impulsar obras. ¿Eso es un ataque al señor Martín Vizcarra ex gobernador de Moquegua y candidato a vicepresidente por PPK?. Hay más de seis millones de personas quechua hablantes y hay que trabajar en el tema de la educación bilingüe intercultutal, eso no lo va a plantear el señor Vizcarra. En el caso del ex presidente regional de Moquegua, entiendo que es un empresario constructor.|21/12/2015|3603.43|482.28|0|4|David Salazar Morote|César Acuña Peralta|Negativo|2015-12
Televisión|RPP|Central de Informaciones |Luis Iberico se pronuncia sobre acusaciones de aportes fantasmas (RPPTV)|El presidente del Congreso, Luis Iberico, señaló que el candidato solo tiene la misión de ser candidato. Asimismo, manifestó que en el partido APP se realiza una investigación interna para revisar los aportes del 2011. Además, negó que los docentes de las universidades de César Acuña sean obligados a participar en la campaña.|17/12/2015|609.96||138||Luis Carlos Antonio Iberico Nuñez|César Acuña Peralta|Positivo|2015-12
Radio|Radio San Borja|Agenda Central|Entrevista al periodista y analista político Iván García Mayer (San Borja)|Entrevista. El periodista y analista político Iván García Mayer se refirió al panorama electoral y señaló que estamos viendo el inicio de una jornada electoral en la que nada está dicho. Explicó que la carta emitida por el expresidente Alberto Fujimori, es un pronunciamiento público con evidente carácter de intención política, ante la evaluación de los congresistas, lo cual, desde su punto de vista es una desautorización a su hija, Keiko Fujimori. Con respecto a la plancha electoral del candidato Pedro Pablo Kuczynski, precisó que es la “plancha residencial con un toque de inclusión”. Asimismo expresó que el problema de PPK “más allá de la plancha, es que no está transmitiendo”. Sobre César Acuña, manifestó que es momento de poner “bajo la lupa”, sus gestiones y los procesos que atraviesa, los cuales eran pocos conocidos. Se refirió también a Alan García y a Lourdes Flores Nano a los cuales calificó como una “fórmula inédita en procesos electorales”|18/12/2015|948.02||886||Iván García Mayer|César Acuña Peralta|Negativo|2015-12
Televisión|Capital|Contra Corriente |Critican uso de recursos de universidad en campaña de César Acuña (Capital TV)|A propósito de una caricatura política de Carlín Tovar, la periodista Mariella Patriau comentó que alumnos de la Universidad César Vallejo estuvieron ayer regalando pelotas en Pachacutec-Ventanilla.|21/12/2015|374.5||107||Mariella Patriau|César Acuña Peralta|Negativo|2015-12
Televisión|TV Perú|TV Perú Noticias (Noche)|APP: Acuña no es candidato nacionalista (Canal 7)|El militante de Alianza para el Progreso (APP) Luis Iberico descartó que Cesar Acuña sea el candidato del partido nacionalista. Además dijo que la expremier Ana Jara deberá responder ante la Fiscalía por el seguimiento de la DINI.|10/12/2015|3539.02||135||Luis Carlos Antonio Iberico Nuñez|César Acuña Peralta|Positivo|2015-12
Radio|Exitosa|Exitosa Noticias|Comentarios de Percy Medina de Idea Internacional (Exitosa)|Vía telefónica. Tras conocerse la decisión del Jurado Electoral Especial en abrir proceso contra el partido Alianza Para el Progreso (APP), liderado por César Acuña, por presuntas infracciones cometidas en campaña; Percy Medina de Idea Internacional hizo referencia a la necesidad de evaluar las normas de propaganda electoral y ley de partidos para determinar si hay delito o no.|22/12/2015|888.3||470||Percy Medina Masías|César Acuña Peralta|Neutro|2015-12
Medio Impreso|Exitosa|Exitosa Diario|Villanueva se suma a APP y aboga por descentralización|El expresidente regional de San Martín y otrora premier César Villanueva fue presentado como el nuevo miembro del equipo de trabajo de César Acuña, líder de Alianza para el Progreso (APP). (...) De otro lado, Acuña prometió que, de llegar al Gobierno, logrará que el sueldo mínimo suba de 750 a 900 soles. En la víspera, el candidato de Peruanos por el Kambio, Pedro Pablo Kuczynski, dijo que elevará el mismo a 850.|16/12/2015|3416.53|457.62|0|4|César Villanueva Arévalo|César Acuña Peralta|Positivo|2015-12
Televisión|Canal N|N Noticias|Univ. César Vallejo retirará paneles con imagen de César Acuña (Canal N)|La Universidad César Vallejo retirará todos los paneles de publicidad donde figura el candidato presidencial César Acuña, así lo informó el personero legal de Alianza Para el Progreso, Juan Carlos Gonzales, quien aclaró que esta propaganda no responde a una campaña política, sino está destinada a promover la referida casa de estudios.|23/12/2015|770||55||Juan Carlos Gonzales Hidalgo|César Acuña Peralta|Positivo|2015-12
Televisión|ATV|ATV Noticias|Alianzas políticas a la vista (ATV)|Este sábado se vence el plazo para que las agrupaciones políticas conformen sus alianzas en vísperas de las elecciones presidenciales del 2016. Esta tarde el militante del nacionalismo Daniel Urresti se reunió con la bancada de Gana Perú en el Congreso. Asimismo, Urresti se refirió al candidato presidencial César Acuña. En tanto, el candidato presidencial de Peruanos Por el Kambio (PPK), Pedro Pablo Kuczynski, esta vez le dijo ""no al sancochado, no a la repartija"", dice en un comunicado.|10/12/2015|3327.6||141||Daniel Belizario Urresti Elera|César Acuña Peralta|Neutro|2015-12
Televisión|Canal N|N Portada|Mulder niega uso de USMP para reunión política (Canal N)|Entrevista. Ántero Flores Aráoz, candidato a la presidencia por el partido Orden y a Roberto Chiabra, exministro de Defensa, se pronunciaron sobre el supuesto uso de la USMP para reunión política. Roberto Chiabra dijo que si los apristas son los que cuestionan a César Acuña por hacer uso de su universidad en la campaña deben tener más cautela al utilizar universidad también. A su vez, Ántero Flores Aráoz, dijo que es exagerado ya que una cosa es hacer una reunión y otra cosa es usar publicidad con recursos de la universidad.|28/12/2015|3864||276||Roberto Chiabra León|César Acuña Peralta|Neutro|2015-12
Radio|Radio Nacional|Nacional en la Noticia|Entrevista a Carlos Paredes de Intelfin (Nacional)|Entrevista. Carlos Paredes, presidente ejecutivo de Inteligencia Financiera, analizó las propuestas de los candidatos presidenciales y consideró que ninguno de ellos tiene un plan de Gobierno definido. En ese sentido, sostuvo que existen temas concretos por tratar antes de pensar en tener un “tren bala”, propuesta del candidato César Acuña. Agregó que la reforma del sistema judicial (Poder Judicial, Ministerio Público), debe estar en la agenda de todos. Por otro lado, se refirió al trabajo del SNIP en la realización de proyectos, asimismo, comentó sobre el Sistema Privado de Pensiones, criticando el trabajo de las AFP.|07/12/2015|1585.76||1496||Carlos Eduardo Paredes Rodríguez|César Acuña Peralta|Negativo|2015-12
Radio|Exitosa|Milagros Leiva en Exitosa |Analista político Luis Benavente opina sobre preferencias electorales (Exitosa)|Vía telefónica. El analista político Luis Benavente comentó sobre los últimos resultados de la encuesta de Datum respecto a las preferencias electorales, además del empate técnico registrado entre PPK y César Acuña. Indicó que la unión de Acuña con Humberto Lay habría sido favorable en un momento, pero recordó que estas cifras fueron tomadas antes de la presentación de estos ante la CADE 2015. Sobre Keiko Fujimori, refirió que ella si bien cuenta con un 35% de votos válidos, no podría ganar en primera vuelta.|07/12/2015|1211.49||641||Luis Benavente Gianella|César Acuña Peralta|Neutro|2015-12
Televisión|TV Perú|TV Perú Noticias Edición Matinal |Giovana Peña Flor analiza participación de candidatos en CADE2015 (Canal 7)|Entrevista. Giovana Peña Flor, analista político dio cuenta de la última encuesta difundido en Diario Uno, el día viernes, donde Keiko Fujimori tiene una intención de voto aprox. de 33%, Pedro Pablo Kuczynski con 15%, César Acuña con 11%, Alan García con 9% donde actualmente existe un 22% de indecisos que definirán la elección presidencial al 2016. Seguidamente, evaluó la participación de cada candidato en CADE2015, donde destacó el tecnicismo en sus propuestas de Pedro Pablo Kuczynski y la necesidad que tiene Keiko Fujimori de distanciarse del Gobierno de su padre que constituye su mayor activo y pasivo a la vez. .|06/12/2015|15538.75||943||Giovanna Peñaflor Guerra|César Acuña Peralta|Neutro|2015-12
