Tipo|Medio General|Medio Específico|Título|Resumen|Fecha Emisión|Valorización|Cm2|Duración|Página|Personajes|Candidatos 2016|Tono|Mes Emisión
Medio Impreso|Perú 21|Perú 21|Entendiendo a Susana (y a Palacio) – Juan José Garrido|¿Cómo llegó Susana Villarán a las filas nacionalistas? ¿Cómo llega un ícono de los derechos humanos a volverse lugarteniente del presunto ‘Capitán Arturo’? Algunos antecedentes. Primero, mintió reiteradas veces respecto a sus intenciones políticas; segundo renunció a Fuerza Social arguyendo razones éticas y morales; tercero, buscó integrar las filas de César Acuña, donde fue rechazada; cuarto, no fue invitada al nacionalismo por Daniel Urresti; quinto, está última decisión ha causado una decepción profunda entre sus seguidores. ¿Por qué asumir ese costo? La respuesta de la Sra. Villarán es vargasllosiana: impedir -a toda costa- el retorno del fujimorismo al poder.|24/12/2015|1730.73|202.3|0|4|Juan José Garrido|Daniel Urresti Elera|Negativo|2015-12
Radio|Capital|Phillip Butters|Entrevista al analista político Mario Saldaña (Capital)|Entrevista. El analista político Mario Saldaña opinó sobre las planchas presidenciales presentadas hasta el momento y sostuvo que la que más le llamó la atención fue la del PPC con el APRA, sin embargo, expresó que la presentación de Susana Villarán en la plancha de Daniel Urresti, ha causado gran revuelo, ante lo cual cuestionó sus principios. Sobre la de Alejandro Toledo, manifestó que no tenía muchas opciones, mientras que la presencia de Vladimir Huaróc, en el grupo de la candidata Keiko Fujimori, también hace dudar mucho de sus principios. Asimismo, manifestó que es “impresionante el nivel de cambalache que estamos viendo”. Durante la entrevista hubo un enlace con el candidato de Acción Popular, Alfredo Barrenechea, quien señaló que recibió el resultado fue muy abrumador ya que ganó en casi todos los departamentos del país, lo cual significa una gran responsabilidad. Informó que su plancha también fue electa ayer y esta compuesta con Víctor Andrés García Belaunde. La entrevista contó con la participación de los oyentes.|21/12/2015|8009.05||2335||Mario Saldaña Castro|Daniel Urresti Elera|Neutro|2015-12
Web|Canal N|canaln.pe|Nadine Heredia: Elegimos a Villarán por ser valiente y honrada|La primera dama Nadine Heredia defendió la elección de Susana Villarán como candidata a la vicepresidencia. A través de su cuenta en Twitter, la esposa de Ollanta Humala indicó que se “enfrentó a la mafia” durante su gestión en la Municipalidad de Lima...De acuerdo al tuit de Nadine Heredia, Villarán fue elegida en la plancha encabezada por Daniel Urresti por ser “honrada” y “valiente”.|21/12/2015|104||0||Nadine Heredia Alarcón|Daniel Urresti Elera|Positivo|2015-12
Radio|Radio San Borja|San Borja|Reacciones tras incorporación de Susana Villarán al Nacionalismo (San Borja)|La presidenta del Partido Nacionalista, Nadine Heredia, saludó la incorporación de Susana Villarán al proyecto político de su partido como candidata a la primera vicepresidencia. Por su parte, la exalcaldesa dijo que su postulación por el Nacionalismo la decidió para evitar que gane Keiko Fujimori. La congresista Rosa Mavila opinó que Villarán hizo una pésima apuesta política.|21/12/2015|84.53||79||Rosa Mavila León|Daniel Urresti Elera|Negativo|2015-12
Medio Impreso|El Comercio|El Comercio Cuerpo A|Villarán y Townsend contra las mujeres - Cecilia Valenzuela|La cuota femenina en las planchas presidenciales ha resultado decepcionante. Pero las mujeres que acompañan a Daniel Urresti y a César Acuña se llevan el crédito de la vergüenza. Susana Villarán y Anel Townsend, otrora defensoras de los derechos humanos, han terminado como sostenes de dos sujetos acusados de ejercer violencia contra mujeres solas, pobres, frágiles o desprotegidas.|23/12/2015|6687.84|405.77|0|6|Cecilia del Pilar Valenzuela Valencia|Daniel Urresti Elera|Negativo|2015-12
Web|Andina|andina.com.pe|En enero empezará ""lucha frontal"" por conquistar segundo lugar en encuestas|Los próximos meses de campaña electoral se caracterizarán por ser una ""lucha frontal"" por conquistar el segundo lugar de las preferencias electorales, en la que el factor Daniel Urresti jugará un rol importante, manifestó hoy el analista político, Luis Benavente. ""Se van a concentrar en una lucha frontal por el segundo lugar porque lo otro (buscar el primer lugar) va a llevar a un desgaste demasiado grande y las posibilidades son mínimas"", precisó. ..Por tanto, indicó que Pedro Pablo Kuczynski, Alan García, César Acuña y Alejandro Toledo, concentrarán sus estrategia de campaña en confrontar con sus oponentes directos para sumar más votos y alcanzar la segunda vuelta.|17/12/2015|98.6||0||Luis Benavente Gianella|Daniel Urresti Elera|Positivo|2015-12
Web|Trome|trome.pe|""Susana Villarán odia al fujimorismo""|Para el congresista Kenji Fujimori (Fuerza Popular), la incorporación de Susana Villarán en la plancha presidencial del Partido Nacionalista busca evitar que su hermana Keiko alcance la Presidencia de la República, en el 2016...En su Twitter, Kenji Fujimori escribió: ‘Para la señora Susana Villarán más pesa el odio al fujimorismo que su defensa de género. Se alía a (Daniel Urresti) para que no gane Keiko (Fujimori). ..’.|22/12/2015|1979.63||0||Susana María del Carmen Villarán de la Puente|Daniel Urresti Elera|Positivo|2015-12
Web|Perú 21|peru21.pe|Kenji Fujimori: “Para Susana Villarán más pesa el odio al fujimorismo que su defensa de género”|El congresista Kenji Fujimori arremetió hoy contra la ex alcaldesa de Lima, “Susana Villarán”: http://peru21.pe/noticias-de-susana-villaran-766, por las razones que ella esgrimió para incorporarse a la plancha oficialista de Daniel Urresti, quien es procesado por el asesinato del periodista Hugo Bustíos.|21/12/2015|1874.83||0||Kenji Gerardo Fujimori Higuchi|Daniel Urresti Elera|Negativo|2015-12
Web|Trome|trome.pe|Susana defiende a Urresti|La candidata a la primera vicepresidencia por el Partido Nacionalista, Susana Villarán, salió en defensa de la carta del oficialismo a la Presidencia de la República, Daniel Urresti...“Si yo tuviera dudas en este momento de la inocencia de Daniel Urresti, no estaría junto a él, por el contario, estaría haciendo campaña en su contra, como lo he hecho tantas veces en cientos de otros casos”, escribió en su muro de Facebook.|22/12/2015|1979.63||0||Susana María del Carmen Villarán de la Puente|Daniel Urresti Elera|Positivo|2015-12
Web|La República|larepublica.pe|por el jirón renovación, la victoria - Augusto Álvarez Rodrich|Algunos cambios se adelantan a los resultados precisamente para buscar buenos resultados. Es lo que acaba de hacer Keiko Fujimori al anunciar que 18 de los actuales congresistas naranjas no irán a la reelección, algunos por voluntad propia y otros por decisión de ella, incluyendo a Martha Chávez, Luisa María Cuculiza y Alejandro Aguinaga.. En el Apra, por su parte, un resultado como ese llevaría a pensar a los compañeros que diez años fuera del poder –y para que no sean quince– es una oportunidad para pensar en alternativas a Alan García. ¿El momento de Enrique Cornejo?. .Donde también hay una renovación en marcha es en la izquierda, la cual se ha descuajeringado, una expresión de lo cual es la presencia de Susana Villarán en el nacionalismo ‘salvaje’ de Daniel Urresti, de Vladimir Huároc en el fujimorismo, y de Anel Townsend en Alianza para el Progreso de César Acuña.|30/12/2015|1014.43||0||Augusto Álvarez Rodrich|Daniel Urresti Elera|Neutro|2015-12
